Configuration,Precision@5,Recall@5,NDCG@5,Precision@10,Recall@10,NDCG@10,MRR
html_sections_then_chunk128o32__emb=all-MiniLM-L6-v2__similarity__index=faiss_flat__k=10,0.3867,0.0695,0.3812,0.34,0.1308,0.3491,0.5711
chunk256_overlap32__emb=all-MiniLM-L6-v2__similarity__index=faiss_flat__k=10,0.3467,0.0741,0.3257,0.3067,0.1169,0.3057,0.4211
html_sections_then_chunk256o32__emb=all-MiniLM-L6-v2__similarity__index=faiss_flat__k=10,0.3467,0.0741,0.3257,0.3067,0.1169,0.3057,0.4211
html_sections_only__emb=all-MiniLM-L6-v2__similarity__index=faiss_flat__k=10,0.3067,0.0502,0.3183,0.26,0.08,0.2817,0.543
html_sections_then_chunk256o32__emb=all-MiniLM-L6-v2__similarity__index=faiss_ivf__k=10,0.2,0.0268,0.21,0.1733,0.0465,0.1874,0.3133
chunk256_overlap32__emb=all-MiniLM-L6-v2__similarity__index=faiss_ivf__k=10,0.2,0.0268,0.21,0.1733,0.0465,0.1874,0.3133
html_sections_then_chunk128o32__emb=all-MiniLM-L6-v2__similarity__index=faiss_ivf__k=10,0.2133,0.0315,0.189,0.1867,0.0478,0.1803,0.2606
html_sections_only__emb=all-MiniLM-L6-v2__similarity__index=faiss_ivf__k=10,0.12,0.0178,0.143,0.0867,0.0204,0.1018,0.2241
